Squarefree monomial ideals in 5 variables up to relabeling
Total representatives: 210

1: ()   (0)
2: ((),)   (1)
3: ((1,),)   (x1)
4: ((1, 2),)   (x1*x2)
5: ((1, 2, 3),)   (x1*x2*x3)
6: ((1, 2, 3, 4),)   (x1*x2*x3*x4)
7: ((1, 2, 3, 4, 5),)   (x1*x2*x3*x4*x5)
8: ((1,), (2,))   (x1, x2)
9: ((1,), (2, 3))   (x1, x2*x3)
111: ((1, 2), (1, 3), (2, 3), (1, 4, 5), (2, 4, 5))   (x1*x2, x1*x3, x2*x3, x1*x4*x5, x2*x4*x5)
112: ((1, 2), (1, 3), (1, 4), (2, 3, 4), (1, 5))   (x1*x2, x1*x3, x1*x4, x2*x3*x4, x1*x5)
113: ((1, 2), (1, 3), (1, 4), (2, 3, 4), (2, 5))   (x1*x2, x1*x3, x1*x4, x2*x3*x4, x2*x5)
114: ((1, 2), (1, 3), (1, 4), (2, 3, 4), (2, 3, 5))   (x1*x2, x1*x3, x1*x4, x2*x3*x4, x2*x3*x5)
115: ((1, 2), (1, 3), (1, 4), (1, 5), (2, 3, 4, 5))   (x1*x2, x1*x3, x1*x4, x1*x5, x2*x3*x4*x5)
116: ((1, 2), (1, 3), (1, 4), (2, 5), (3, 5))   (x1*x2, x1*x3, x1*x4, x2*x5, x3*x5)
117: ((1, 2), (1, 3), (1, 4), (2, 5), (3, 4, 5))   (x1*x2, x1*x3, x1*x4, x2*x5, x3*x4*x5)
118: ((1, 2), (1, 3), (1, 4), (2, 3, 5), (2, 4, 5))   (x1*x2, x1*x3, x1*x4, x2*x3*x5, x2*x4*x5)
119: ((1, 2), (1, 3), (2, 4), (3, 4), (2, 3, 5))   (x1*x2, x1*x3, x2*x4, x3*x4, x2*x3*x5)
120: ((1, 2), (1, 3), (2, 4), (3, 5), (4, 5))   (x1*x2, x1*x3, x2*x4, x3*x5, x4*x5)
121: ((1, 2), (1, 3), (2, 4), (3, 5), (1, 4, 5))   (x1*x2, x1*x3, x2*x4, x3*x5, x1*x4*x5)
122: ((1, 2), (1, 3), (2, 4), (2, 3, 5), (1, 4, 5))   (x1*x2, x1*x3, x2*x4, x2*x3*x5, x1*x4*x5)
123: ((1, 2), (1, 3), (2, 4), (2, 3, 5), (3, 4, 5))   (x1*x2, x1*x3, x2*x4, x2*x3*x5, x3*x4*x5)
124: ((1, 2), (1, 3), (2, 3, 4), (2, 3, 5), (4, 5))   (x1*x2, x1*x3, x2*x3*x4, x2*x3*x5, x4*x5)
125: ((1, 2), (1, 3), (2, 3, 4), (2, 3, 5), (1, 4, 5))   (x1*x2, x1*x3, x2*x3*x4, x2*x3*x5, x1*x4*x5)
126: ((1, 2), (1, 3), (2, 3, 4), (2, 3, 5), (2, 4, 5))   (x1*x2, x1*x3, x2*x3*x4, x2*x3*x5, x2*x4*x5)
