original_index,table_type,ideal,betti_dictionary,total_betti_vector,pd,reg
151,100,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x3*x5)","{(0, 0): 1, (1, 2): 6, (2, 3): 8, (3, 4): 3}","(1, 6, 8, 3)",3,1
152,102,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x3*x4*x5)","{(0, 0): 1, (1, 2): 5, (1, 3): 1, (2, 3): 6, (2, 4): 2, (3, 4): 2, (3, 5): 1}","(1, 6, 8, 3)",3,2
153,103,"(x1*x2, x1*x3, x2*x3, x1*x4, x1*x5, x4*x5)","{(0, 0): 1, (1, 2): 6, (2, 3): 8, (2, 4): 1, (3, 4): 4, (3, 5): 1, (4, 5): 1}","(1, 6, 9, 5, 1)",4,2
154,104,"(x1*x2, x1*x3, x2*x3, x1*x4, x1*x5, x2*x4*x5)","{(0, 0): 1, (1, 2): 5, (1, 3): 1, (2, 3): 7, (2, 4): 2, (3, 4): 4, (3, 5): 1, (4, 5): 1}","(1, 6, 9, 5, 1)",4,2
155,100,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x5, x4*x5)","{(0, 0): 1, (1, 2): 6, (2, 3): 8, (3, 4): 3}","(1, 6, 8, 3)",3,1
156,102,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 5, (1, 3): 1, (2, 3): 6, (2, 4): 2, (3, 4): 2, (3, 5): 1}","(1, 6, 8, 3)",3,2
157,105,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 4, (1, 3): 2, (2, 3): 4, (2, 4): 4, (3, 4): 1, (3, 5): 2}","(1, 6, 8, 3)",3,2
158,106,"(x1*x2, x1*x3, x2*x3, x1*x4*x5, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 3, (1, 3): 3, (2, 3): 2, (2, 4): 6, (3, 5): 3}","(1, 6, 8, 3)",3,2
159,107,"(x1*x2, x1*x3, x1*x4, x2*x3*x4, x1*x5, x2*x3*x5)","{(0, 0): 1, (1, 2): 4, (1, 3): 2, (2, 3): 6, (2, 4): 3, (3, 4): 4, (3, 5): 1, (4, 5): 1}","(1, 6, 9, 5, 1)",4,2
160,102,"(x1*x2, x1*x3, x1*x4, x2*x3*x4, x2*x5, x3*x5)","{(0, 0): 1, (1, 2): 5, (1, 3): 1, (2, 3): 6, (2, 4): 2, (3, 4): 2, (3, 5): 1}","(1, 6, 8, 3)",3,2
161,105,"(x1*x2, x1*x3, x1*x4, x2*x3*x4, x2*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 4, (1, 3): 2, (2, 3): 4, (2, 4): 4, (3, 4): 1, (3, 5): 2}","(1, 6, 8, 3)",3,2
162,108,"(x1*x2, x1*x3, x1*x4, x2*x3*x4, x2*x3*x5, x2*x4*x5)","{(0, 0): 1, (1, 2): 3, (1, 3): 3, (2, 3): 3, (2, 4): 5, (3, 4): 1, (3, 5): 2}","(1, 6, 8, 3)",3,2
163,101,"(x1*x2, x1*x3, x1*x4, x2*x5, x3*x5, x4*x5)","{(0, 0): 1, (1, 2): 6, (2, 3): 9, (3, 4): 5, (4, 5): 1}","(1, 6, 9, 5, 1)",4,1
164,108,"(x1*x2, x1*x3, x1*x4, x2*x3*x5, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 3, (1, 3): 3, (2, 3): 3, (2, 4): 5, (3, 4): 1, (3, 5): 2}","(1, 6, 8, 3)",3,2
165,105,"(x1*x2, x1*x3, x2*x4, x3*x4, x2*x3*x5, x1*x4*x5)","{(0, 0): 1, (1, 2): 4, (1, 3): 2, (2, 3): 4, (2, 4): 4, (3, 4): 1, (3, 5): 2}","(1, 6, 8, 3)",3,2
166,106,"(x1*x2, x1*x3, x2*x4, x2*x3*x5, x1*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 3, (1, 3): 3, (2, 3): 2, (2, 4): 6, (3, 5): 3}","(1, 6, 8, 3)",3,2
167,109,"(x1*x2, x1*x3, x2*x3*x4, x2*x3*x5, x1*x4*x5, x2*x4*x5)","{(0, 0): 1, (1, 2): 2, (1, 3): 4, (2, 3): 1, (2, 4): 7, (3, 5): 3}","(1, 6, 8, 3)",3,2
168,109,"(x1*x2, x1*x3, x2*x3*x4, x2*x3*x5, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 2, (1, 3): 4, (2, 3): 1, (2, 4): 7, (3, 5): 3}","(1, 6, 8, 3)",3,2
169,109,"(x1*x2, x1*x3, x2*x3*x4, x1*x4*x5, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 2, (1, 3): 4, (2, 3): 1, (2, 4): 7, (3, 5): 3}","(1, 6, 8, 3)",3,2
170,110,"(x1*x2, x3*x4, x1*x3*x5, x2*x3*x5, x1*x4*x5, x2*x4*x5)","{(0, 0): 1, (1, 2): 2, (1, 3): 4, (2, 4): 9, (3, 5): 4}","(1, 6, 9, 4)",3,2
